Product Name,Production Start Month,Production End Month
Rice,9,10
Cabbage,11,12
Chinese Cabbage,9,11
Radish,10,4
Onion,6,7
Garlic,6,7
Red Pepper,8,10
Cucumber,6,9
Carrot,10,12
Potato,9,10
Apple,9,10
Pear,8,9
Grape,8,9
Peach,6,7
Plum,7,8
Orange,11,12
Tangerine,10,11
Melon,6,8
Watermelon,6,9
Tomato,6,10
Eggplant,6,10
Zucchini,6,10
Pumpkin,9,10
Sweet Potato,10,11
Soybean,9,10
Mung Bean,8,9
Peanut,9,10
Corn,9,10
Wheat,6,7
Barley,6,7
Oats,7,8
Millet,9,10
Buckwheat,9,10
Tobacco,7,8
Cotton,10,11
Tea,4,9
Mushroom,1,12
Seaweed,1,12
Green Onion,10,12
Spinach,10,12
Lettuce,6,9
Bell Pepper,6,10
Leek,10,12
Ginger,10,11
Sesame,9,10
Perilla,9,10
Chrysanthemum Greens,6,9
Korean Melon,6,8
Persimmon,10,11
Jujube,9,10